task_id,job_id,stream,stashID
1,u-dw467,apy.pp,34059
2,u-dw467,apy.pp,34997
3,u-dw467,apy.pp,34001
4,u-dw467,apy.pp,34058
5,u-dw467,apy.pp,34002
6,u-dw467,apy.pp,34003
7,u-dw467,apy.pp,34996
8,u-dw467,apy.pp,34005
9,u-dw467,apy.pp,34006
10,u-dw467,apy.pp,34007
11,u-dw467,apy.pp,34048
12,u-dw467,apy.pp,34049
13,u-dw467,apy.pp,34054
14,u-dw467,apy.pp,34013
15,u-dw467,apy.pp,34017
16,u-dw467,apy.pp,34032
17,u-dw467,apy.pp,34025
18,u-dw467,apy.pp,34098
19,u-du013,apy.pp,34059
20,u-du013,apy.pp,34997
21,u-du013,apy.pp,34001
22,u-du013,apy.pp,34058
23,u-du013,apy.pp,34002
24,u-du013,apy.pp,34003
25,u-du013,apy.pp,34996
26,u-du013,apy.pp,34005
27,u-du013,apy.pp,34006
28,u-du013,apy.pp,34007
29,u-du013,apy.pp,34048
30,u-du013,apy.pp,34049
31,u-du013,apy.pp,34054
32,u-du013,apy.pp,34013
33,u-du013,apy.pp,34017
34,u-du013,apy.pp,34032
35,u-du013,apy.pp,34025
36,u-du013,apy.pp,34098
37,u-du414,apy.pp,34059
38,u-du414,apy.pp,34997
39,u-du414,apy.pp,34001
40,u-du414,apy.pp,34058
41,u-du414,apy.pp,34002
42,u-du414,apy.pp,34003
43,u-du414,apy.pp,34996
44,u-du414,apy.pp,34005
45,u-du414,apy.pp,34006
46,u-du414,apy.pp,34007
47,u-du414,apy.pp,34048
48,u-du414,apy.pp,34049
49,u-du414,apy.pp,34054
50,u-du414,apy.pp,34013
51,u-du414,apy.pp,34017
52,u-du414,apy.pp,34032
53,u-du414,apy.pp,34025
54,u-du414,apy.pp,34098
