task_id,job_id,stream,stashID
1,u-bp901,apy.pp,34005
2,u-bp901,apy.pp,34006
3,u-bp901,apy.pp,34007
4,u-dh393,apy.pp,34005
5,u-dh393,apy.pp,34006
6,u-dh393,apy.pp,34007
7,u-br438,apy.pp,34005
8,u-br438,apy.pp,34006
9,u-br438,apy.pp,34007
10,u-dh394,apy.pp,34005
11,u-dh394,apy.pp,34006
12,u-dh394,apy.pp,34007
13,u-dq680,apy.pp,34005
14,u-dq680,apy.pp,34006
15,u-dq680,apy.pp,34007
16,u-ds004,apy.pp,34005
17,u-ds004,apy.pp,34006
18,u-ds004,apy.pp,34007
19,u-dq721,apy.pp,34005
20,u-dq721,apy.pp,34006
21,u-dq721,apy.pp,34007
22,u-dq731,apy.pp,34005
23,u-dq731,apy.pp,34006
24,u-dq731,apy.pp,34007
